# NGSL 1.2 words 1001-2800 — Browne, Culligan & Phillips
# source: https://www.newgeneralservicelist.com/
rank,word
1001,difficulty
1002,purchase
1003,shoot
1004,announce
1005,unless
1006,independent
1007,recommend
1008,survey
1009,majority
1010,stick
1011,request
1012,rich
1013,wind
1014,none
1015,exchange
1016,budget
1017,famous
1018,blood
1019,appropriate
1020,block
1021,warm
1022,count
1023,scene
1024,writer
1025,content
1026,prevent
1027,safe
1028,invite
1029,mix
1030,element
1031,effective
1032,correct
1033,medical
1034,admit
1035,beat
1036,telephone
1037,copy
1038,committee
1039,aware
1040,advice
1041,handle
1042,glass
1043,trial
1044,stress
1045,radio
1046,administration
1047,complex
1048,text
1049,context
1050,ride
1051,directly
1052,heavy
1053,remove
1054,conduct
1055,equipment
1056,otherwise
1057,title
1058,extra
1059,executive
1060,chair
1061,expensive
1062,sample
1063,sex
1064,deliver
1065,video
1066,connection
1067,primary
1068,weather
1069,collect
1070,inform
1071,principle
1072,straight
1073,appeal
1074,highly
1075,trust
1076,wonderful
1077,flat
1078,absolutely
1079,flow
1080,fair
1081,additional
1082,responsible
1083,farm
1084,collection
1085,hang
1086,negative
1087,band
1088,relative
1089,tour
1090,alternative
1091,software
1092,pair
1093,ship
1094,attitude
1095,cheap
1096,double
1097,leg
1098,observe
1099,sentence
1100,print
1101,progress
1102,truth
1103,nobody
1104,examine
1105,lay
1106,speed
1107,politics
1108,reply
1109,display
1110,transfer
1111,perfect
1112,slightly
1113,overall
1114,intend
1115,user
1116,respond
1117,dinner
1118,slow
1119,regular
1120,physical
1121,apart
1122,suit
1123,federal
1124,reveal
1125,percentage
1126,peace
1127,status
1128,crime
1129,decline
1130,decade
1131,launch
1132,warn
1133,consumer
1134,favor
1135,dry
1136,partner
1137,institution
1138,spot
1139,horse
1140,eventually
1141,heat
1142,excite
1143,reader
1144,importance
1145,distance
1146,guide
1147,grant
1148,taxi
1149,feed
1150,pain
1151,sector
1152,mistake
1153,ensure
1154,satisfy
1155,chief
1156,cool
1157,expert
1158,wave
1159,south
1160,labor
1161,surface
1162,library
1163,excellent
1164,edge
1165,camp
1166,audience
1167,lift
1168,procedure
1169,email
1170,global
1171,struggle
1172,advertise
1173,select
1174,surround
1175,extent
1176,river
1177,annual
1178,fully
1179,contrast
1180,roll
1181,reality
1182,photograph
1183,artist
1184,conflict
1185,entire
1186,presence
1187,crowd
1188,corner
1189,gas
1190,shift
1191,net
1192,category
1193,secretary
1194,defense
1195,quick
1196,cook
1197,spread
1198,nuclear
1199,scale
1200,driver
1201,ball
1202,cry
1203,introduction
1204,requirement
1205,north
1206,confirm
1207,senior
1208,photo
1209,refuse
1210,transport
1211,emerge
1212,map
1213,concept
1214,island
1215,reform
1216,neither
1217,football
1218,survive
1219,flight
1220,left
1221,solve
1222,neighbor
1223,background
1224,technique
1225,traffic
1226,improvement
1227,tool
1228,consequence
1229,circumstance
1230,smoke
1231,reaction
1232,rain
1233,busy
1234,lesson
1235,brain
1236,mass
1237,funny
1238,contribute
1239,failure
